Year,Brand,Model,Body Type,Drivetrain,Interior Colour,Exterior Colour,Fuel Type,Transmission Type,Doors,Cylinder Count,Fuel Efficiency (Lt/100kms),Distance (km),Mileage (kms/Lt),Years Used,Price
2021,Acura,Other Model Type,SUV,AWD,Red,Black,Gas,Automatic,,,10.31,33413,9.7,3,47588
2022,Acura,Other Model Type,Sedan,AWD,Red,Other Colour,Gas,Automatic,,,9.86,12209,10.1,2,50188
2022,Acura,Other Model Type,SUV,AWD,Other Colour,White,Gas,Automatic,4,4,10.31,29776,9.7,2,52795
2021,Acura,Other Model Type,Sedan,AWD,Red,White,Gas,Automatic,4,6,11.18,29841,8.9,3,55995
2022,Acura,Other Model Type,SUV,AWD,Black,White,Gas,Other,,6,11.16,32865,9.0,2,62599
2013,Acura,Other Model Type,SUV,AWD,Black,White,Gas,Automatic,4,6,8.18,267187,12.2,11,10795
2014,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,,,9.17,209511,10.9,10,13588
2011,Acura,Other Model Type,SUV,AWD,Cream,White,Gas,Automatic,4,6,11.58,161202,8.6,13,13985
2013,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,4,6,11.58,223000,8.6,11,13999
2014,Acura,Other Model Type,Sedan,FWD,Black,White,Gas,Automatic,4,6,8.78,136541,11.4,10,16900
2014,Acura,Other Model Type,SUV,AWD,Black,White,Gas,Automatic,5,,9.17,158868,10.9,10,17998
2015,Acura,Other Model Type,SUV,AWD,Black,White,Gas,Automatic,4,6,10.57,172000,9.5,9,17999
2019,Acura,Other Model Type,Sedan,FWD,Black,White,Gas,Automatic,4,,8.6,41116,11.6,5,29995
2020,Acura,Other Model Type,Sedan,AWD,Black,White,Gas,Automatic,4,,10.29,31756,9.7,4,39836
2019,Acura,Other Model Type,SUV,AWD,Black,Other Colour,Gas,Automatic,4,,9.92,110024,10.1,5,34995
2015,Acura,Other Model Type,Sedan,AWD,Black,Black,Gas,Automatic,,6,9.54,137835,10.5,9,19450
2016,Acura,Other Model Type,Sedan,FWD,Black,White,Gas,Automatic,4,4,8.1,76836,12.3,8,19890
2016,Acura,Other Model Type,Sedan,FWD,Other Colour,Grey,Gas,Automatic,4,4,8.25,117699,12.1,8,21995
2018,Acura,Other Model Type,Sedan,FWD,Black,Black,Gas,Automatic,4,4,8.23,104000,12.2,6,22950
2016,Acura,Other Model Type,SUV,AWD,Black,White,Gas,Automatic,4,6,11.08,193000,9.0,8,23995
2016,Acura,Other Model Type,SUV,AWD,Beige,Black,Gas,Automatic,4,6,11.08,145000,9.0,8,23999
2019,Acura,Other Model Type,Sedan,AWD,Black,Blue,Gas,Automatic,4,6,10.29,73340,9.7,5,26471
2018,Acura,Other Model Type,Sedan,FWD,Black,Black,Gas,Automatic,4,4,8.23,37089,12.2,6,26595
2017,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,4,,10.98,163527,9.1,7,29780
2018,Acura,Other Model Type,SUV,AWD,Black,White,Gas,Automatic,2,,10.74,76620,9.3,6,29999
2019,Acura,Other Model Type,Sedan,FWD,Black,White,Gas,Automatic,,,8.6,40734,11.6,5,30989
2017,Acura,Other Model Type,SUV,AWD,Black,White,Gas,Automatic,4,,10.98,123240,9.1,7,32480
2019,Acura,Other Model Type,Sedan,AWD,Other Colour,Black,Gas,Automatic,4,6,10.01,65339,10.0,5,34995
