Year,Brand,Model,Body Type,Drivetrain,Interior Colour,Exterior Colour,Fuel Type,Transmission Type,Doors,Cylinder Count,Fuel Efficiency (Lt/100kms),Distance (km),Mileage (kms/Lt),Years Used,Price
2016.0,0.0,10.0,7.0,4.0,6.0,2.0,2.0,0.0,4.0,4.0,8.25,117699.0,12.1,8.0,21995.0
2018.0,0.0,10.0,7.0,4.0,1.0,0.0,2.0,0.0,4.0,4.0,8.23,104000.0,12.2,6.0,22950.0
2016.0,0.0,10.0,8.0,3.0,1.0,5.0,2.0,0.0,4.0,6.0,11.08,193000.0,9.0,8.0,23995.0
2016.0,0.0,10.0,8.0,3.0,0.0,0.0,2.0,0.0,4.0,6.0,11.08,145000.0,9.0,8.0,23999.0
2019.0,0.0,10.0,7.0,3.0,1.0,1.0,2.0,0.0,4.0,6.0,10.29,73340.0,9.7,5.0,26471.0
2018.0,0.0,10.0,7.0,4.0,1.0,0.0,2.0,0.0,4.0,4.0,8.23,37089.0,12.2,6.0,26595.0
2017.0,0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,7.0,10.98,163527.0,9.1,7.0,29780.0
2018.0,0.0,10.0,8.0,3.0,1.0,5.0,2.0,0.0,2.0,4.0,10.74,76620.0,9.3,6.0,29999.0
2019.0,0.0,10.0,7.0,4.0,1.0,5.0,2.0,0.0,4.0,4.0,8.6,40734.0,11.6,5.0,30989.0
2017.0,0.0,10.0,8.0,3.0,1.0,5.0,2.0,0.0,4.0,5.0,10.98,123240.0,9.1,7.0,32480.0
2019.0,0.0,10.0,7.0,3.0,6.0,0.0,2.0,0.0,4.0,6.0,10.01,65339.0,10.0,5.0,34995.0
2017.0,0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,6.0,10.76,99000.0,9.3,7.0,35950.0
2020.0,0.0,10.0,7.0,4.0,7.0,5.0,2.0,0.0,4.0,4.0,8.6,30500.0,11.6,4.0,35999.0
2020.0,0.0,10.0,7.0,3.0,6.0,5.0,2.0,0.0,4.0,6.0,10.29,81676.0,9.7,4.0,38549.0
2019.0,0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,4.0,9.92,30192.0,10.1,5.0,38995.0
2020.0,0.0,10.0,7.0,3.0,1.0,0.0,2.0,0.0,4.0,6.0,10.29,49921.0,9.7,4.0,40850.0
