Brand,Model,Body Type,Drivetrain,Interior Colour,Exterior Colour,Fuel Type,Transmission Type,Doors,Cylinder Count,Distance (km),Mileage (kms/Lt),Years Used,Price
0.0,10.0,8.0,3.0,1.0,5.0,2.0,0.0,4.0,6.0,93111.0,9.7,5.0,38426.0
0.0,10.0,8.0,3.0,7.0,5.0,2.0,0.0,4.0,6.0,88199.0,9.2,5.0,39495.0
0.0,10.0,8.0,3.0,7.0,5.0,8.0,0.0,4.0,4.0,32575.0,9.7,4.0,43888.0
0.0,10.0,7.0,4.0,1.0,0.0,2.0,0.0,4.0,4.0,253873.0,12.2,15.0,6990.0
0.0,10.0,8.0,3.0,1.0,2.0,2.0,0.0,4.0,6.0,230000.0,9.5,9.0,13888.0
0.0,10.0,8.0,3.0,8.0,5.0,2.0,0.0,3.0,6.0,141000.0,8.6,12.0,14995.0
0.0,10.0,8.0,3.0,0.0,5.0,2.0,0.0,3.0,5.0,177000.0,10.9,10.0,14995.0
0.0,10.0,8.0,3.0,1.0,3.0,2.0,0.0,3.0,6.0,161000.0,9.5,9.0,17995.0
0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,6.0,160000.0,9.5,9.0,18450.0
0.0,10.0,8.0,3.0,6.0,0.0,2.0,0.0,4.0,6.0,154925.0,9.5,9.0,18490.0
0.0,10.0,8.0,3.0,1.0,3.0,2.0,0.0,4.0,6.0,206795.0,9.0,9.0,18990.0
0.0,10.0,7.0,3.0,1.0,0.0,2.0,0.0,4.0,5.0,185361.0,10.5,7.0,19798.0
0.0,10.0,8.0,3.0,8.0,5.0,8.0,0.0,4.0,6.0,182129.0,9.3,7.0,19990.0
0.0,10.0,8.0,3.0,1.0,5.0,2.0,0.0,4.0,6.0,187403.0,9.3,8.0,20880.0
0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,4.0,63846.0,9.4,8.0,21995.0
0.0,10.0,7.0,3.0,1.0,5.0,2.0,0.0,4.0,6.0,106520.0,10.5,8.0,22895.0
0.0,10.0,8.0,3.0,0.0,5.0,2.0,0.0,4.0,5.0,149000.0,9.3,8.0,25950.0
0.0,10.0,8.0,3.0,6.0,3.0,2.0,0.0,4.0,6.0,73000.0,9.3,7.0,25950.0
0.0,10.0,8.0,3.0,6.0,5.0,2.0,0.0,4.0,4.0,55656.0,9.3,6.0,26995.0
0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,5.0,124021.0,9.0,8.0,27500.0
0.0,10.0,7.0,3.0,1.0,0.0,2.0,0.0,4.0,6.0,72702.0,10.3,6.0,27880.0
0.0,10.0,8.0,3.0,1.0,3.0,2.0,0.0,4.0,7.0,159598.0,9.1,7.0,27888.0
0.0,10.0,7.0,4.0,1.0,3.0,2.0,0.0,4.0,4.0,56700.0,11.5,5.0,28880.0
0.0,10.0,7.0,4.0,1.0,0.0,2.0,0.0,4.0,4.0,80000.0,11.5,5.0,28950.0
0.0,10.0,7.0,4.0,6.0,1.0,2.0,0.0,4.0,4.0,74148.0,11.6,5.0,29990.0
0.0,10.0,7.0,4.0,0.0,5.0,8.0,0.0,4.0,4.0,62099.0,11.5,5.0,30388.0
0.0,10.0,8.0,3.0,1.0,3.0,2.0,0.0,4.0,6.0,53000.0,9.0,8.0,30900.0
0.0,10.0,8.0,3.0,1.0,1.0,2.0,0.0,4.0,4.0,77300.0,10.1,5.0,32880.0
0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,6.0,63000.0,9.1,6.0,34880.0
0.0,10.0,7.0,4.0,7.0,5.0,2.0,0.0,4.0,4.0,15288.0,11.2,4.0,34888.0
0.0,10.0,8.0,3.0,1.0,2.0,2.0,0.0,4.0,4.0,48001.0,10.1,5.0,34999.0
0.0,10.0,8.0,3.0,1.0,0.0,8.0,0.0,2.0,4.0,80538.0,10.1,5.0,36600.0
0.0,10.0,8.0,3.0,1.0,5.0,2.0,0.0,4.0,6.0,37200.0,9.3,5.0,37900.0
0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,6.0,111000.0,9.3,5.0,37900.0
0.0,10.0,7.0,3.0,7.0,3.0,8.0,0.0,2.0,6.0,47997.0,9.7,4.0,38500.0
0.0,10.0,8.0,3.0,1.0,5.0,8.0,0.0,2.0,4.0,51915.0,10.1,5.0,38588.0
0.0,10.0,8.0,3.0,6.0,0.0,2.0,0.0,4.0,4.0,58824.0,9.3,5.0,38699.0
0.0,10.0,7.0,3.0,1.0,0.0,8.0,0.0,2.0,6.0,39732.0,9.7,4.0,38900.0
0.0,10.0,8.0,3.0,1.0,0.0,8.0,0.0,2.0,4.0,68267.0,9.7,5.0,38989.0
0.0,10.0,8.0,3.0,1.0,3.0,2.0,0.0,4.0,6.0,102550.0,9.3,5.0,39597.0
0.0,10.0,8.0,3.0,6.0,5.0,8.0,0.0,2.0,4.0,70852.0,10.1,4.0,40800.0
