Year,Brand,Model,Body Type,Drivetrain,Interior Colour,Exterior Colour,Fuel Type,Transmission Type,Doors,Cylinder Count,Fuel Efficiency (Lt/100kms),Distance (km),Mileage (kms/Lt),Years Used,Purchase Price,Current Market Price
2018,Acura,Other Model Type,SUV,AWD,Black,White,Gas,Automatic,2,,10.74,76620,9.3,6,29999,2424.3
2017,Acura,Other Model Type,SUV,AWD,Black,White,Gas,Automatic,4,,10.98,123240,9.1,7,32480,1584.51
2019,Acura,Other Model Type,Sedan,AWD,Other Colour,Black,Gas,Automatic,4,6,10.01,65339,10.0,5,34995,3483.75
2017,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,4,6,10.76,99000,9.3,7,35950,2143.81
2020,Acura,Other Model Type,Sedan,FWD,Red,White,Gas,Automatic,4,,8.6,30500,11.6,4,35999,7110.91
2019,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,4,4,9.92,30192,10.1,5,38995,7276.63
2019,Acura,Other Model Type,SUV,AWD,Black,White,Gas,Automatic,4,4,9.92,13289,10.1,5,43995,14168.17
2008,Acura,Other Model Type,SUV,AWD,Beige,Black,Gas,Automatic,4,6,12.09,184000,8.3,16,9995,103.04
2013,Acura,Other Model Type,SUV,AWD,Brown,Black,Gas,Automatic,4,,11.58,244685,8.6,11,11888,210.05
2014,Acura,Other Model Type,Sedan,FWD,Black,White,Gas,Automatic,4,6,8.78,168000,11.4,10,15895,446.49
2011,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,4,6,11.58,154800,8.6,13,15995,339.7
2015,Acura,Other Model Type,Sedan,FWD,Other Colour,White,Gas,Automatic,4,4,8.41,171697,11.9,9,15995,484.17
2017,Acura,Other Model Type,Sedan,AWD,Black,Other Colour,Gas,Automatic,4,6,9.54,191000,10.5,7,19995,646.6
2017,Acura,Other Model Type,Sedan,FWD,Other Colour,White,Gas,Automatic,4,4,8.23,122000,12.2,7,21950,1080.87
2019,Acura,Other Model Type,SUV,AWD,Red,White,Gas,Automatic,4,,10.31,65882,9.7,5,41990,4150.19
2002,Acura,Other Model Type,Sedan,FWD,Beige,Other Colour,Gas,Automatic,4,,7.25,229000,13.8,22,2998,-12.54
2003,Acura,Other Model Type,Coupe,FWD,Black,Black,Gas,Manual,2,4,7.71,230098,13.0,21,6999,-14.58
2002,Acura,Other Model Type,Sedan,FWD,Black,Other Colour,Gas,Automatic,4,4,7.25,123338,13.8,22,6999,-52.49
2005,Acura,Other Model Type,Coupe,FWD,Black,White,Gas,Automatic,2,4,8.0,191492,12.5,19,7999,19.85
2008,Acura,Other Model Type,SUV,AWD,Other Colour,Grey,Gas,Automatic,4,4,11.06,226356,9.0,16,8995,76.11
