Year,Brand,Model,Body Type,Drivetrain,Interior Colour,Exterior Colour,Fuel Type,Transmission Type,Doors,Cylinder Count,Fuel Efficiency (Lt/100kms),Distance (km),Mileage (kms/Lt),Years Used,Purchase Price,Current Market Price
2021.0,0.0,10.0,8.0,3.0,1.0,5.0,6.0,0.0,4.0,4.0,9.76,29704.0,10.2,3.0,47099.0,10083.15
2022.0,0.0,10.0,7.0,3.0,6.0,5.0,2.0,0.0,4.0,4.0,10.31,29776.0,9.7,2.0,52795.0,11945.77
2021.0,0.0,10.0,8.0,3.0,7.0,5.0,2.0,0.0,4.0,6.0,11.18,29841.0,8.9,3.0,55995.0,11946.42
2013.0,0.0,10.0,7.0,3.0,1.0,5.0,2.0,0.0,4.0,6.0,8.18,267187.0,12.2,11.0,10795.0,175.25
2011.0,0.0,10.0,7.0,3.0,4.0,5.0,2.0,0.0,4.0,6.0,11.58,161202.0,8.6,13.0,13985.0,285.9
2013.0,0.0,10.0,7.0,3.0,1.0,0.0,2.0,0.0,4.0,6.0,11.58,223000.0,8.6,11.0,13999.0,270.37
2014.0,0.0,10.0,8.0,4.0,1.0,5.0,2.0,0.0,4.0,6.0,8.78,136541.0,11.4,10.0,16900.0,576.63
2014.0,0.0,10.0,7.0,3.0,1.0,5.0,2.0,0.0,5.0,4.0,9.17,158868.0,10.9,10.0,17998.0,532.9
2015.0,0.0,10.0,7.0,3.0,1.0,5.0,2.0,0.0,4.0,6.0,10.57,172000.0,9.5,9.0,17999.0,543.93
2019.0,0.0,10.0,8.0,4.0,1.0,5.0,2.0,0.0,4.0,4.0,8.6,41116.0,11.6,5.0,29995.0,4401.02
2020.0,0.0,10.0,8.0,3.0,1.0,5.0,2.0,0.0,4.0,4.0,10.29,31756.0,9.7,4.0,39836.0,7632.15
2019.0,0.0,10.0,7.0,3.0,1.0,3.0,2.0,0.0,4.0,6.0,9.92,110024.0,10.1,5.0,34995.0,2186.75
2016.0,0.0,10.0,8.0,4.0,1.0,5.0,2.0,0.0,4.0,4.0,8.1,76836.0,12.3,8.0,19890.0,1374.31
2016.0,0.0,10.0,8.0,4.0,6.0,2.0,2.0,0.0,4.0,4.0,8.25,117699.0,12.1,8.0,21995.0,1033.45
2018.0,0.0,10.0,8.0,4.0,1.0,0.0,2.0,0.0,4.0,4.0,8.23,104000.0,12.2,6.0,22950.0,1409.21
2016.0,0.0,10.0,7.0,3.0,1.0,5.0,2.0,0.0,4.0,6.0,11.08,193000.0,9.0,8.0,23995.0,709.21
2016.0,0.0,10.0,7.0,3.0,0.0,0.0,2.0,0.0,4.0,6.0,11.08,145000.0,9.0,8.0,23999.0,928.99
2019.0,0.0,10.0,8.0,3.0,1.0,1.0,2.0,0.0,4.0,6.0,10.29,73340.0,9.7,5.0,26471.0,2382.2
2018.0,0.0,10.0,8.0,4.0,1.0,0.0,2.0,0.0,4.0,4.0,8.23,37089.0,12.2,6.0,26595.0,3953.47
2017.0,0.0,10.0,7.0,3.0,1.0,0.0,2.0,0.0,4.0,7.0,10.98,163527.0,9.1,7.0,29780.0,1115.5
2018.0,0.0,10.0,7.0,3.0,1.0,5.0,2.0,0.0,2.0,4.0,10.74,76620.0,9.3,6.0,29999.0,2424.3
2017.0,0.0,10.0,7.0,3.0,1.0,5.0,2.0,0.0,4.0,5.0,10.98,123240.0,9.1,7.0,32480.0,1584.51
2019.0,0.0,10.0,8.0,3.0,6.0,0.0,2.0,0.0,4.0,6.0,10.01,65339.0,10.0,5.0,34995.0,3483.75
2017.0,0.0,10.0,7.0,3.0,1.0,0.0,2.0,0.0,4.0,6.0,10.76,99000.0,9.3,7.0,35950.0,2143.81
2020.0,0.0,10.0,8.0,4.0,7.0,5.0,2.0,0.0,4.0,4.0,8.6,30500.0,11.6,4.0,35999.0,7110.91
2019.0,0.0,10.0,7.0,3.0,1.0,0.0,2.0,0.0,4.0,4.0,9.92,30192.0,10.1,5.0,38995.0,7276.63
2019.0,0.0,10.0,7.0,3.0,1.0,5.0,2.0,0.0,4.0,4.0,9.92,13289.0,10.1,5.0,43995.0,14168.17
2008.0,0.0,10.0,7.0,3.0,0.0,0.0,2.0,0.0,4.0,6.0,12.09,184000.0,8.3,16.0,9995.0,103.04
2013.0,0.0,10.0,7.0,3.0,2.0,0.0,2.0,0.0,4.0,6.0,11.58,244685.0,8.6,11.0,11888.0,210.05
2014.0,0.0,10.0,8.0,4.0,1.0,5.0,2.0,0.0,4.0,6.0,8.78,168000.0,11.4,10.0,15895.0,446.49
2011.0,0.0,10.0,7.0,3.0,1.0,0.0,2.0,0.0,4.0,6.0,11.58,154800.0,8.6,13.0,15995.0,339.7
2015.0,0.0,10.0,8.0,4.0,6.0,5.0,2.0,0.0,4.0,4.0,8.41,171697.0,11.9,9.0,15995.0,484.17
2017.0,0.0,10.0,8.0,3.0,1.0,3.0,2.0,0.0,4.0,6.0,9.54,191000.0,10.5,7.0,19995.0,646.6
2017.0,0.0,10.0,8.0,4.0,6.0,5.0,2.0,0.0,4.0,4.0,8.23,122000.0,12.2,7.0,21950.0,1080.87
2019.0,0.0,10.0,7.0,3.0,7.0,5.0,2.0,0.0,4.0,5.0,10.31,65882.0,9.7,5.0,41990.0,4150.19
2002.0,0.0,10.0,8.0,4.0,0.0,3.0,2.0,0.0,4.0,4.0,7.25,229000.0,13.8,22.0,2998.0,-12.54
2003.0,0.0,10.0,2.0,4.0,1.0,0.0,2.0,1.0,2.0,4.0,7.71,230098.0,13.0,21.0,6999.0,-14.58
2002.0,0.0,10.0,8.0,4.0,1.0,3.0,2.0,0.0,4.0,4.0,7.25,123338.0,13.8,22.0,6999.0,-52.49
2005.0,0.0,10.0,2.0,4.0,1.0,5.0,2.0,0.0,2.0,4.0,8.0,191492.0,12.5,19.0,7999.0,19.85
2008.0,0.0,10.0,7.0,3.0,6.0,2.0,2.0,0.0,4.0,4.0,11.06,226356.0,9.0,16.0,8995.0,76.11
2016.0,0.0,10.0,8.0,4.0,1.0,1.0,6.0,0.0,4.0,4.0,8.1,99000.0,12.3,8.0,22900.0,1260.55
2019.0,0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,5.0,10.29,103658.0,9.7,5.0,34995.0,2309.23
2019.0,0.0,10.0,8.0,3.0,1.0,5.0,2.0,0.0,4.0,4.0,9.74,10735.0,10.3,5.0,35495.0,12838.8
2019.0,0.0,10.0,8.0,3.0,1.0,3.0,2.0,0.0,4.0,4.0,10.01,50412.0,10.0,5.0,35995.0,4468.69
2022.0,0.0,10.0,8.0,4.0,1.0,3.0,2.0,0.0,4.0,4.0,8.6,10122.0,11.6,2.0,35995.0,16099.54
2019.0,0.0,10.0,7.0,3.0,1.0,0.0,2.0,0.0,4.0,5.0,9.92,80862.0,10.1,5.0,35995.0,2971.13
2019.0,0.0,10.0,7.0,3.0,1.0,0.0,2.0,0.0,4.0,4.0,9.92,67934.0,10.1,5.0,36995.0,3560.22
2019.0,0.0,10.0,7.0,3.0,1.0,3.0,2.0,0.0,4.0,5.0,10.76,85772.0,9.3,5.0,37995.0,2975.43
2019.0,0.0,10.0,7.0,3.0,6.0,5.0,2.0,0.0,4.0,4.0,10.31,65969.0,9.7,5.0,38989.0,3849.17
2020.0,0.0,10.0,7.0,3.0,7.0,3.0,2.0,0.0,4.0,6.0,10.31,102340.0,9.7,4.0,39995.0,2848.14
2020.0,0.0,10.0,7.0,3.0,1.0,0.0,6.0,0.0,4.0,5.0,9.92,25777.0,10.1,4.0,40788.0,9120.5
2020.0,0.0,10.0,7.0,3.0,1.0,0.0,2.0,0.0,4.0,4.0,9.92,55635.0,10.1,4.0,42995.0,5240.5
2021.0,0.0,10.0,7.0,3.0,1.0,5.0,2.0,0.0,4.0,6.0,10.12,92078.0,9.9,3.0,44995.0,3746.72
2020.0,0.0,10.0,7.0,3.0,7.0,0.0,2.0,0.0,4.0,6.0,10.98,48622.0,9.1,4.0,45995.0,6276.82
2021.0,0.0,10.0,7.0,3.0,7.0,5.0,2.0,0.0,4.0,5.0,10.31,49050.0,9.7,3.0,46495.0,6692.76
2022.0,0.0,10.0,7.0,3.0,7.0,3.0,2.0,0.0,4.0,4.0,10.31,14700.0,9.7,2.0,53995.0,19674.29
2022.0,0.0,10.0,7.0,3.0,7.0,3.0,2.0,0.0,4.0,6.0,11.16,50845.0,9.0,2.0,60866.0,9003.11
2022.0,0.0,10.0,7.0,3.0,7.0,1.0,2.0,0.0,4.0,6.0,11.16,45339.0,9.0,2.0,61417.0,9988.49
2011.0,0.0,10.0,8.0,4.0,1.0,5.0,2.0,1.0,4.0,4.0,8.51,234000.0,11.8,13.0,9500.0,136.27
